[2014-02-16 21:14:43] Finished 19 battle, 69 sec this time, 1280 sec total
[2014-02-16 21:15:42] Finished 20 battle, 52 sec this time, 1339 sec total
[2014-02-16 21:16:59] Finished 21 battle, 69 sec this time, 1416 sec total
[2014-02-16 21:17:49] Finished 22 battle, 44 sec this time, 1466 sec total
[2014-02-16 21:18:42] Finished 23 battle, 48 sec this time, 1519 sec total
[2014-02-16 21:19:55] Finished 24 battle, 67 sec this time, 1592 sec total
[2014-02-16 21:20:53] Finished 25 battle, 52 sec this time, 1650 sec total
[2014-02-16 21:22:09] Finished 26 battle, 68 sec this time, 1726 sec total
[2014-02-16 21:23:02] Finished 27 battle, 48 sec this time, 1779 sec total
[2014-02-16 21:24:08] Finished 28 battle, 59 sec this time, 1845 sec total
[2014-02-16 21:25:13] Finished 29 battle, 59 sec this time, 1910 sec total
[2014-02-16 21:26:24] Finished 30 battle, 65 sec this time, 1981 sec total
[2014-02-16 21:27:22] Finished 31 battle, 53 sec this time, 2039 sec total
[2014-02-16 21:28:36] Finished 32 battle, 65 sec this time, 2113 sec total
[2014-02-16 21:29:47] Finished 33 battle, 62 sec this time, 2184 sec total
[2014-02-16 21:32:14] Finished 35 battle, 65 sec this time, 2331 sec total
[2014-02-16 21:33:28] Finished 36 battle, 66 sec this time, 2405 sec total
[2014-02-16 21:36:01] Finished 38 battle, 70 sec this time, 2558 sec total
[2014-02-16 21:37:18] Finished 39 battle, 68 sec this time, 2635 sec total
[2014-02-16 21:40:52] Finished 42 battle, 65 sec this time, 2849 sec total
[2014-02-16 21:43:25] Finished 44 battle, 63 sec this time, 3002 sec total
[2014-02-16 21:45:08] Finished 45 battle, 96 sec this time, 3105 sec total
[2014-02-16 21:59:09] Finished 1 battle, 62 sec this time, 62 sec total
[2014-02-16 22:01:25] Finished 3 battle, 56 sec this time, 198 sec total
[2014-02-16 22:05:28] Finished 1 battle, 60 sec this time, 60 sec total
[2014-02-16 22:06:43] Finished 2 battle, 51 sec this time, 135 sec total
[2014-02-16 22:07:53] Finished 3 battle, 64 sec this time, 205 sec total
[2014-02-16 22:09:01] Finished 4 battle, 62 sec this time, 273 sec total
[2014-02-16 22:10:33] Finished 5 battle, 83 sec this time, 365 sec total
[2014-02-16 22:11:47] Finished 6 battle, 59 sec this time, 439 sec total
[2014-02-16 22:12:52] Finished 7 battle, 58 sec this time, 504 sec total
[2014-02-16 22:13:55] Finished 8 battle, 55 sec this time, 567 sec total
[2014-02-16 22:14:59] Finished 9 battle, 58 sec this time, 631 sec total
[2014-02-16 22:16:03] Finished 10 battle, 58 sec this time, 695 sec total
[2014-02-16 22:17:02] Finished 11 battle, 51 sec this time, 754 sec total
[2014-02-16 22:18:01] Finished 12 battle, 50 sec this time, 813 sec total
[2014-02-16 22:19:08] Finished 13 battle, 62 sec this time, 880 sec total
[2014-02-16 22:20:15] Finished 14 battle, 60 sec this time, 947 sec total
[2014-02-16 22:21:21] Finished 15 battle, 60 sec this time, 1013 sec total
[2014-02-16 22:22:46] Finished 16 battle, 77 sec this time, 1098 sec total
[2014-02-16 22:23:45] Finished 17 battle, 54 sec this time, 1157 sec total
[2014-02-16 22:24:49] Finished 18 battle, 54 sec this time, 1221 sec total
[2014-02-16 22:25:48] Finished 19 battle, 53 sec this time, 1280 sec total
[2014-02-16 22:26:53] Finished 20 battle, 60 sec this time, 1345 sec total
[2014-02-16 22:27:54] Finished 21 battle, 56 sec this time, 1406 sec total
[2014-02-16 22:29:02] Finished 22 battle, 63 sec this time, 1474 sec total
[2014-02-16 22:30:09] Finished 23 battle, 60 sec this time, 1541 sec total
[2014-02-16 22:31:21] Finished 24 battle, 66 sec this time, 1613 sec total
[2014-02-16 22:32:25] Finished 25 battle, 58 sec this time, 1677 sec total
